id,name,latitude,longitude,country
0,Tehran,35.7,51.4167,Iran
1,Mashhad,36.3069,59.6042,Iran
2,Eşfahān,32.6447,51.6675,Iran
3,Karaj,35.8327,50.9915,Iran
4,Tabrīz,38.0833,46.2833,Iran
5,Shīrāz,29.61,52.5425,Iran
6,Qom,34.6461,50.8789,Iran
7,Ahvāz,31.3203,48.6692,Iran
8,Kermānshāh,34.3167,47.0686,Iran
9,Orūmīyeh,37.55,45.1,Iran
10,Rasht,37.2833,49.6,Iran
11,Kermān,30.2833,57.0667,Iran
12,Zāhedān,29.4833,60.8667,Iran
13,Eslāmshahr,35.5333,51.2,Iran
14,Hamadān,34.8065,48.5162,Iran
15,Yazd,31.8972,54.3678,Iran
16,Arāk,34.08,49.7,Iran
17,Ardabīl,38.25,48.3,Iran
18,Bandar ‘Abbās,27.2,56.25,Iran
19,Zanjān,36.6667,48.4833,Iran
20,Kāshān,33.9833,51.4333,Iran
21,Qazvīn,36.2688,50.0041,Iran
22,Sanandaj,35.3097,46.9989,Iran
23,Khorramābād,33.4667,48.35,Iran
24,Sārī,36.5658,53.0597,Iran
25,Gorgān,36.83,54.48,Iran
26,Shahrīār,35.6597,51.0592,Iran
27,Shahr-e Qods,35.7214,51.1089,Iran
28,Malārd,35.6658,50.9767,Iran
29,Sartā,36.5504,53.1,Iran
30,Dezfūl,32.3878,48.4033,Iran
31,Bābol,36.55,52.6833,Iran
32,Būkān,36.5208,46.2117,Iran
33,Sabzevār,36.2167,57.6667,Iran
34,Āmol,36.4669,52.3569,Iran
35,Pākdasht,35.4817,51.6803,Iran
36,Najafābād,32.6342,51.3667,Iran
37,Borūjerd,33.8972,48.7514,Iran
38,Madan,30.3392,48.3042,Iran
39,Qarchak,35.4394,51.5689,Iran
40,Varāmīn,35.2714,51.6511,Iran
41,Neyshābūr,36.22,58.82,Iran
42,Sāveh,35.0211,50.3564,Iran
43,Khomeynī Shahr,32.7,51.5211,Iran
44,Qā’em Shahr,36.4611,52.8606,Iran
45,Nasīm Shahr,35.5644,51.1647,Iran
46,Bojnūrd,37.4667,57.3333,Iran
47,Bandar-e Būshehr,28.9667,50.8333,Iran
48,Khowy,38.5503,44.9519,Iran
49,Fardīs,35.7247,50.9883,Iran
50,Bīrjand,32.8667,59.2,Iran
51,Marāgheh,37.3833,46.2667,Iran
52,Sīrjān,29.47,55.73,Iran
53,Shāhīn Shahr,32.8639,51.5475,Iran
54,Malāyer,34.2942,48.82,Iran
55,Saqqez,36.2497,46.2733,Iran
56,Bandar-e Māhshahr,30.5589,49.1981,Iran
57,Mahābād,36.7704,45.72,Iran
58,Rafsanjān,30.4,56.0,Iran
59,Shahr-e Kord,32.3256,50.8644,Iran
60,Semnān,35.5833,53.3833,Iran
61,Golmeh,33.6304,46.43,Iran
62,Gonbad-e Kāvūs,37.25,55.1672,Iran
63,Shāhrūd,36.4167,55.0167,Iran
64,Marvdasht,29.8742,52.8025,Iran
65,Qūchān,37.1118,58.5015,Iran
66,Jahrom,28.5,53.56,Iran
67,Kamālshahr,35.8622,50.8717,Iran
68,Torbat-e Ḩeydarīyeh,35.2739,59.2194,Iran
69,Pīrānshahr,36.6944,45.1417,Iran
70,Marīvān,35.5269,46.1761,Iran
71,Andīmeshk,32.45,48.35,Iran
72,Shahreẕā,32.0089,51.8667,Iran
73,Zābol,31.0308,61.4972,Iran
74,Khorramshahr,30.4333,48.1833,Iran
75,Marand,38.4167,45.7667,Iran
76,Jīroft,28.6781,57.7406,Iran
77,Bam,29.1083,58.3583,Iran
78,Behbahān,30.5958,50.2417,Iran
79,Dorūd,33.4933,49.075,Iran
80,Naz̧arābād,35.9522,50.6075,Iran
81,Moḩammad Shahr,35.7631,50.9172,Iran
82,Īrānshahr,27.2025,60.6847,Iran
83,Fasā,28.9381,53.6481,Iran
84,Borāzjān,29.2667,51.2158,Iran
85,Bāneh,35.9975,45.8853,Iran
86,Yāsūj,30.6667,51.5833,Iran
87,Chābahār,25.2836,60.6236,Iran
88,Robāţ Karīm,35.4847,51.0828,Iran
89,Khāk-e ‘Alī,36.1283,50.1764,Iran
90,Kāshmar,35.2383,58.4656,Iran
91,Shūshtar,32.0436,48.8569,Iran
92,Ahar,38.475,47.0603,Iran
93,Masjed Soleymān,31.9333,49.3,Iran
94,Torbat-e Jām,35.2439,60.6225,Iran
95,Kāzerūn,29.6167,51.65,Iran
96,Shīrvān,37.3967,57.9294,Iran
97,Salmās,38.2,44.7667,Iran
98,Alīgūdarz,33.4006,49.6947,Iran
99,Bonāb,37.3403,46.0561,Iran
100,Tākestān,36.0694,49.6958,Iran
101,Oshnavīyeh,37.0397,45.0983,Iran
102,Bandar-e Genāveh,29.5833,50.5167,Iran
103,Zarand,30.8128,56.5639,Iran
104,Mobārakeh,32.3464,51.5044,Iran
105,Dāmghān,36.1681,54.3481,Iran
106,Tāybād,34.74,60.7756,Iran
107,Zarrīn Shahr,32.3894,51.3764,Iran
108,Ārān Bīdgol,34.0578,51.4842,Iran
109,Hashtpar,37.7992,48.9053,Iran
110,Bījār,35.8741,47.5937,Iran
111,Sardasht,36.1553,45.4789,Iran
112,Rāmhormoz,31.2783,49.6064,Iran
113,Golpāyegān,33.4536,50.2883,Iran
114,Aznā,33.4539,49.455,Iran
115,Naţanz,33.5,51.9,Iran
116,Takāb,36.4008,47.1131,Iran
117,Darcheh,32.6153,51.5556,Iran
118,Sarāb,37.9408,47.5367,Iran
119,Bāft,29.2331,56.6022,Iran
120,Khalkhāl,37.6189,48.5258,Iran
121,Falāvarjān,32.5553,51.5097,Iran
122,Sarpol-e Z̄ahāb,34.4614,45.8647,Iran
123,Shāhīn Dezh,36.6792,46.5667,Iran
124,Qahderījān,32.5767,51.455,Iran
125,Hādīshahr,38.8478,45.6622,Iran
126,Fūman,37.2239,49.3125,Iran
127,Semīrom,31.4142,51.5694,Iran
128,Sheybān,31.4086,48.7942,Iran
129,Kelīshād va Sūdarjān,32.5542,51.525,Iran
130,Goldasht,32.6267,51.4392,Iran
131,Khvānsār,33.2206,50.315,Iran
132,Gaz,32.8022,51.6208,Iran
133,Khowrzūq,32.7781,51.6458,Iran
134,Maḩmūdābād Nemūneh,36.2886,49.9019,Iran
135,Kabūdarāhang,35.2083,48.7239,Iran
136,Taft,31.7475,54.2042,Iran
137,Dehāqān,31.94,51.6478,Iran
138,Tīrān,32.7025,51.1536,Iran
139,Amlash,37.0975,50.1864,Iran
140,Ardestān,33.3797,52.3725,Iran
141,Fāmenīn,35.1139,48.9717,Iran
142,Fereydūnshahr,32.9411,50.1211,Iran
143,Reẕvānshahr,37.5511,49.1394,Iran
144,Ahram,28.8825,51.2744,Iran
145,Poldasht,39.3481,45.0711,Iran
146,Qaşr-e Shīrīn,34.5156,45.5792,Iran
147,Komījān,34.7192,49.3267,Iran
148,Chādegān,32.7683,50.6286,Iran
149,Khūr,33.775,55.0831,Iran
150,Chelgard,32.4681,50.1214,Iran
151,Esfarāyen,37.0764,57.51,Iran
152,Khondāb,34.3928,49.1839,Iran
153,Īlām,33.6374,46.4227,Iran
154,Eshtehārd,35.7256,50.3661,Iran
155,Alvand,36.1892,50.0642,Iran
156,Fereydūn Kenār,36.6861,52.52,Iran
157,Bandar-e Anzalī,37.4667,49.4667,Iran
158,Lāhījān,37.2042,50.0092,Iran
159,Maḩmūdābād,36.6319,52.2629,Iran
160,Bābolsar,36.7,52.65,Iran
161,Bandar-e Torkaman,36.9,54.0667,Iran
162,Langarūd,37.1969,50.1536,Iran
163,Jūybār,36.6409,52.9121,Iran
164,Āstāneh-ye Ashrafīyeh,37.2597,49.9444,Iran
165,Kangān,27.8339,52.0628,Iran
166,Bandar-e ‘Asalūyeh,27.4761,52.6075,Iran
